Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,01-Mar,CPA,Mis,Dis,Rec,PrgR,Matches
103,Aaron Cresswell,eng ENG,DF,West Ham,35-068,1989,3.3,63.3,4.55,23,29.4,11.8,0.3,63.3,0,0,,0,,27,100,42.4,0.91,1.52,0,0.3,0,36.7,0.61,Matches
104,Marc Cucurella,es ESP,DF,Chelsea,26-214,1998,21,68.2,3.29,20,33.5,15,2.14,68.2,0.43,0.14,33.3,0.29,66.7,29.6,123.6,73,1.1,0.52,0.05,0.9,0.19,43.3,3.67,Matches
105,Jorge Cuenca,es ESP,DF,Fulham,25-096,1999,1,52,15,35,17,1,0,52,0,0,,0,,13,47,29,0,0,0,0,0,22,0,Matches
106,Matheus Cunha,br BRA,"MF,FW",Wolves,25-270,1999,21.8,52.9,0.92,7.06,24.1,23.7,4.59,52.8,4.91,2.11,43,2.29,46.7,29.9,233.8,116.7,4.04,3.07,1.38,2.84,1.61,34.7,5.78,Matches
107,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-135,1998,3.5,30.6,1.71,4.29,13.1,14,4.29,30.6,1.43,0.29,20,0.57,40,16.3,74.9,30.6,0.86,1.14,0.29,1.14,2,18.9,4.86,Matches
108,Diogo Dalot,pt POR,DF,Manchester Utd,25-340,1999,23.6,64.7,3.94,21.7,26.1,17.4,1.95,64.7,1.31,0.59,45.2,0.64,48.4,36.1,156.9,84.9,1.82,1.31,0.42,1.14,0.47,38.9,5.08,Matches
109,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-233,2000,20.9,58.4,1.29,10.9,26.8,21.6,2.25,58.4,3.21,1.63,50.7,1.2,37.3,33.6,193,99.1,2.49,1.63,0.33,1.82,1.67,38.6,4.02,Matches
110,Danilo,br BRA,MF,Nott'ham Forest,23-298,2001,1.6,46.9,3.13,16.9,29.4,1.25,0,46.9,2.5,0.63,25,1.88,75,15.6,81.3,22.5,0.63,0,0,2.5,0,26.9,0,Matches
111,Jayden Danns,eng ENG,MF,Liverpool,19-036,2006,0.1,20,0,0,0,20,0,20,0,0,,0,,10,20,10,0,0,0,0,10,10,0,Matches
112,Kevin Danso,at AUT,DF,Tottenham,26-155,1998,0.9,77.8,7.78,27.8,45.6,4.44,2.22,77.8,0,0,,0,,57.8,297.8,117.8,1.11,0,0,0,0,58.9,0,Matches
